id,slug,tag
217,contains-duplicate,Arrays & Hashing
242,valid-anagram,Arrays & Hashing
1,two-sum,Arrays & Hashing
49,group-anagrams,Arrays & Hashing
347,top-k-frequent-elements,Arrays & Hashing
238,product-of-array-except-self,Arrays & Hashing
128,longest-consecutive-sequence,Arrays & Hashing
271,encode-and-decode-strings,Arrays & Hashing
36,valid-sudoku,Arrays & Hashing
125,valid-palindrome,Two Pointers
167,two-sum-ii-input-array-is-sorted,Two Pointers
15,3sum,Two Pointers
11,container-with-most-water,Two Pointers
42,trapping-rain-water,Two Pointers
121,best-time-to-buy-and-sell-stock,Sliding Window
3,longest-substring-without-repeating-characters,Sliding Window
424,longest-repeating-character-replacement,Sliding Window
567,permutation-in-string,Sliding Window
76,minimum-window-substring,Sliding Window
239,sliding-window-maximum,Sliding Window
20,valid-parentheses,Stack
155,min-stack,Stack
150,evaluate-reverse-polish-notation,Stack
739,daily-temperatures,Stack
84,largest-rectangle-in-histogram,Stack
704,binary-search,Binary Search
74,search-a-2d-matrix,Binary Search
875,koko-eating-bananas,Binary Search
153,find-minimum-in-rotated-sorted-array,Binary Search
33,search-in-rotated-sorted-array,Binary Search
981,time-based-key-value-store,Binary Search
4,median-of-two-sorted-arrays,Binary Search
206,reverse-linked-list,Linked List
21,merge-two-sorted-lists,Linked List
143,reorder-list,Linked List
19,remove-nth-node-from-end-of-list,Linked List
138,copy-list-with-random-pointer,Linked List
2,add-two-numbers,Linked List
141,linked-list-cycle,Linked List
287,find-the-duplicate-number,Linked List
146,lru-cache,Linked List
23,merge-k-sorted-lists,Linked List
25,reverse-nodes-in-k-group,Linked List
226,invert-binary-tree,Trees
104,maximum-depth-of-binary-tree,Trees
543,diameter-of-binary-tree,Trees
110,balanced-binary-tree,Trees
100,same-tree,Trees
572,subtree-of-another-tree,Trees
235,lowest-common-ancestor-of-a-binary-search-tree,Trees
102,binary-tree-level-order-traversal,Trees
199,binary-tree-right-side-view,Trees
1448,count-good-nodes-in-binary-tree,Trees
98,validate-binary-search-tree,Trees
230,kth-smallest-element-in-a-bst,Trees
105,construct-binary-tree-from-preorder-and-inorder-traversal,Trees
124,binary-tree-maximum-path-sum,Trees
297,serialize-and-deserialize-binary-tree,Trees
208,implement-trie-prefix-tree,Tries
211,design-add-and-search-words-data-structure,Tries
212,word-search-ii,Tries
215,kth-largest-element-in-an-array,Heap / Priority Queue
1046,last-stone-weight,Heap / Priority Queue
973,k-closest-points-to-origin,Heap / Priority Queue
703,kth-largest-element-in-a-stream,Heap / Priority Queue
621,task-scheduler,Heap / Priority Queue
355,design-twitter,Heap / Priority Queue
78,subsets,Backtracking
39,combination-sum,Backtracking
46,permutations,Backtracking
90,subsets-ii,Backtracking
40,combination-sum-ii,Backtracking
79,word-search,Backtracking
131,palindrome-partitioning,Backtracking
17,letter-combinations-of-a-phone-number,Backtracking
51,n-queens,Backtracking
200,number-of-islands,Graphs
133,clone-graph,Graphs
695,max-area-of-island,Graphs
417,pacific-atlantic-water-flow,Graphs
130,surrounded-regions,Graphs
994,rotting-oranges,Graphs
286,walls-and-gates,Graphs
207,course-schedule,Graphs
210,course-schedule-ii,Graphs
684,redundant-connection,Graphs
